"","doi","text_id","justification","EOV","version","DOI"
"522","https://doi.org/10.1016/j.jglr.2022.03.015","","freshwater","","","10.1016/j.jglr.2022.03.015"
"523","https://doi.org/10.1371/journal.pone.0263646","","camera not in situ","","","10.1371/journal.pone.0263646"
"524","https://doi.org/10.1111/jfb.14944","","pelagic","","","10.1111/jfb.14944"
"527","https://doi.org/10.32604/cmc.2022.021093","","method","","","10.32604/cmc.2022.021093"
"528","https://doi.org/10.1111/joa.13537","","CT imaging","","","10.1111/joa.13537"
"529","https://doi.org/10.3389/fmars.2021.758089","","photopectoralis","","","10.3389/fmars.2021.758089"
"531","https://doi.org/10.1016/j.marpolbul.2021.112536","","photosynthesis","","","10.1016/j.marpolbul.2021.112536"
"532","https://doi.org/10.3390/rs13152985","","camera not in situ","","","10.3390/rs13152985"
"533","https://doi.org/10.11975/j.issn.1002-6819.2021.12.018","","method","","","10.11975/j.issn.1002-6819.2021.12.018"
"535","https://doi.org/10.1016/j.ecoinf.2022.101923","","method","","","10.1016/j.ecoinf.2022.101923"
"536","https://doi.org/10.3390/rs12152466","","method","","","10.3390/rs12152466"
"537","https://doi.org/10.3354/meps07187","","review","","","10.3354/meps07187"
"539","https://doi.org/10.1016/j.ecss.2021.107294","","multibeam","","","10.1016/j.ecss.2021.107294"
"541","https://doi.org/10.3389/fmars.2021.606975","","dolphin photo ID","","","10.3389/fmars.2021.606975"
"542","https://doi.org/10.3354/meps13566","","not fish","","","10.3354/meps13566"
"543","https://doi.org/10.1080/14724049.2018.1490302","","fish/photographer interaction","","","10.1080/14724049.2018.1490302"
"544","https://doi.org/10.1007/s00267-015-0628-4","","fish/photographer interaction","","","10.1007/s00267-015-0628-4"
"545","https://doi.org/10.1016/j.ecss.2009.04.004","","method","","","10.1016/j.ecss.2009.04.004"
"555","https://doi.org/10.1109/TIP.2021.3074738","","method","","","10.1109/TIP.2021.3074738"
"556","https://doi.org/10.2989/1814232X.2020.1855246","","otolith imaging","","","10.2989/1814232X.2020.1855246"
"557","https://doi.org/10.1016/j.gecco.2020.e01396","","dolphin photo ID","","","10.1016/j.gecco.2020.e01396"
"558","https://doi.org/10.1016/j.envpol.2020.115746","","lost fishing gear","","","10.1016/j.envpol.2020.115746"
"559","https://doi.org/10.1016/j.fishres.2020.105748","","whale ID","","","10.1016/j.fishres.2020.105748"
"560","https://doi.org/10.1111/maec.12020","","dolphin photo ID","","","10.1111/maec.12020"
"561","https://doi.org/10.3354/meps07581","","shark photo ID","","","10.3354/meps07581"
"562","https://doi.org/10.1007/s00265-021-03091-4","","dolphin photo ID","","","10.1007/s00265-021-03091-4"
"563","https://doi.org/10.1016/j.marenvres.2025.107528","","sea urchin","","","10.1016/j.marenvres.2025.107528"
"564","https://doi.org/10.3897/neobiota.98.131103","","oysters","","","10.3897/neobiota.98.131103"
"565","https://doi.org/10.11975/j.issn.1002-6819.2022.11.003","","method","","","10.11975/j.issn.1002-6819.2022.11.003"
"566","https://doi.org/10.1093/icesjms/fsaa208","","method","","","10.1093/icesjms/fsaa208"
"567","https://doi.org/10.1016/j.marenvres.2020.105134","","shellfish potting","","","10.1016/j.marenvres.2020.105134"
"568","https://doi.org/10.1093/icesjms/fsz099","","clam","","","10.1093/icesjms/fsz099"
"569","https://doi.org/10.2983/035.038.0104","","scallops","","","10.2983/035.038.0104"
"570","https://doi.org/10.2493/jjspe.83.1172","","method, seabed imaging","","","10.2493/jjspe.83.1172"
"571","https://doi.org/10.1139/cjfas-2015-0566","","otolith imaging","","","10.1139/cjfas-2015-0566"
"573","https://doi.org/10.2983/035.034.0335","","lobster","","","10.2983/035.034.0335"
"574","https://doi.org/10.2983/035.034.0117","","bivalve","","","10.2983/035.034.0117"
"575","https://doi.org/10.20965/jrm.2014.p0519","","method, AUV","","","10.20965/jrm.2014.p0519"
"576","https://doi.org/10.2983/035.032.0236","","shrimp, macroinvertebrates","","","10.2983/035.032.0236"
"577","https://doi.org/10.1371/journal.pone.0034476","","lobster, not fish","","","10.1371/journal.pone.0034476"
"578","https://doi.org/10.1007/s10750-008-9587-6","","acoustic, jellyfish","","","10.1007/s10750-008-9587-6"
"579","https://doi.org/10.2983/0730-8000(2005)24[805:SVISAB]2.0.CO;2","","lobster","","","10.2983/0730-8000(2005)24[805:SVISAB]2.0.CO;2"
"580","https://doi.org/10.1109/tgrs.1984.6499161","","wetland, satellite","","","10.1109/tgrs.1984.6499161"
"581","https://doi.org/10.1097/00004032-197905000-00001","","not fish","","","10.1097/00004032-197905000-00001"
"582","https://doi.org/10.3354/aei00462","","lobster","","","10.3354/aei00462"
"583","https://doi.org/10.1002/ece3.70705","","method","","","10.1002/ece3.70705"
"584","https://doi.org/10.1128/AEM.40.4.746-755.1980","","gut microflora","","","10.1128/AEM.40.4.746-755.1980"
"585","https://doi.org/10.2983/035.035.0428","","lobster","","","10.2983/035.035.0428"
"586","https://doi.org/10.3354/aei00418","","shellfish","","","10.3354/aei00418"
"587","https://doi.org/10.2112/JCOASTRES-D-11-00051.1","","remote sensing, review","","","10.2112/JCOASTRES-D-11-00051.1"
"590","https://doi.org/10.13243/j.cnki.slxb.20200147","","laboratory, sediment flow","","","10.13243/j.cnki.slxb.20200147"
"591","https://doi.org/10.1080/10106049.2018.1557263","","satellite","","","10.1080/10106049.2018.1557263"
"592","https://doi.org/10.1371/journal.pone.0237819","","impact of fishing gear","","","10.1371/journal.pone.0237819"
"593","https://doi.org/10.1016/j.marpolbul.2020.111312","","no fish, gear impacts","","","10.1016/j.marpolbul.2020.111312"
"594","https://doi.org/10.1093/plankt/fbaa030","","method-ish, no fish data","","","10.1093/plankt/fbaa030"
"595","https://doi.org/10.1007/s11852-020-00746-8","","acoustic, seafloor classification","","","10.1007/s11852-020-00746-8"
"597","https://doi.org/10.1093/conphys/coaa015","","sea urchins","","","10.1093/conphys/coaa015"
"598","https://doi.org/10.7717/peerj.9380","","penguin dives","","","10.7717/peerj.9380"
"600","https://doi.org/10.1016/j.jhazmat.2019.120861","","microplastics on fish physiology","","","10.1016/j.jhazmat.2019.120861"
"602","https://doi.org/10.1007/s41208-019-00148-0","","unusual massive beaching documented with photograph","","","10.1007/s41208-019-00148-0"
"603","https://doi.org/10.1007/s11804-019-00087-5","","photovoltaic","","","10.1007/s11804-019-00087-5"
"605","https://doi.org/10.3969/j.issn.1000-1441.2019.03.004","","seismic","","","10.3969/j.issn.1000-1441.2019.03.004"
"606","https://doi.org/10.1111/1365-2478.12336","","seismic","","","10.1111/1365-2478.12336"
"607","https://doi.org/10.1093/gji/ggv422","","seismic","","","10.1093/gji/ggv422"
"608","https://doi.org/10.1007/s00367-014-0368-0","","seismic","","","10.1007/s00367-014-0368-0"
"609","https://doi.org/10.1016/j.jembe.2008.10.001","","acoustic","","","10.1016/j.jembe.2008.10.001"
"610","https://doi.org/10.1016/j.sedgeo.2003.09.002","","seismic","","","10.1016/j.sedgeo.2003.09.002"
"611","https://doi.org/10.1080/106411999273774","","seismic","","","10.1080/106411999273774"
"612","https://doi.org/10.1071/EG998654","","seismic","","","10.1071/EG998654"
"613","https://doi.org/10.1029/GL016i002p00123","","seabed radioactivity","","","10.1029/GL016i002p00123"
"614","https://doi.org/10.1029/2019JB018552","","seismic","","","10.1029/2019JB018552"
"615","https://doi.org/10.1016/j.ejar.2021.07.003","","seismic","","","10.1016/j.ejar.2021.07.003"
"616","https://doi.org/10.1016/S0025-3227(01)00293-6","","seismic","","","10.1016/S0025-3227(01)00293-6"
"617","https://doi.org/10.17159/sajs.2022/14020","","geophysics","","","10.17159/sajs.2022/14020"
"618","https://doi.org/10.1016/j.margeo.2019.01.010","","sediment resuspension","","","10.1016/j.margeo.2019.01.010"
"619","https://doi.org/10.1134/S1995082919020147","","pelagic, freshwater","","","10.1134/S1995082919020147"
"620","https://doi.org/10.3389/fmars.2019.00050","","crab","","","10.3389/fmars.2019.00050"
"622","https://doi.org/10.3389/fmars.2019.00317","","seagrass and macroalgae GOOS observing system","","","10.3389/fmars.2019.00317"
"623","https://doi.org/10.1139/cjz-2018-0106","","conch","","","10.1139/cjz-2018-0106"
"624","https://doi.org/10.3389/fmars.2019.00163","","sponges","","","10.3389/fmars.2019.00163"
"625","https://doi.org/10.1111/pre.12349","","photons","","","10.1111/pre.12349"
"626","https://doi.org/10.1016/j.marpol.2018.09.031","","gear impacts","","","10.1016/j.marpol.2018.09.031"
"627","https://doi.org/10.1242/jeb.189597","","sea cucumber","","","10.1242/jeb.189597"
"628","https://doi.org/10.1016/j.zool.2018.07.002","","laboratory","","","10.1016/j.zool.2018.07.002"
"630","https://doi.org/10.3791/57493","","method","","","10.3791/57493"
"631","https://doi.org/10.2478/pomr-2018-0030","","acoustic","","","10.2478/pomr-2018-0030"
"646","https://doi.org/10.1111/jfb.70043","","laboratory","","","10.1111/jfb.70043"
"647","https://doi.org/10.1016/j.aquaculture.2015.10.024","","starfish","","","10.1016/j.aquaculture.2015.10.024"
"650","https://doi.org/10.1111/1365-2664.13087","","no fish","","","10.1111/1365-2664.13087"
"651","https://doi.org/10.1093/icesjms/fsx194","","method","","","10.1093/icesjms/fsx194"
"652","https://doi.org/10.3390/geosciences8030091","","seabed morphology","","","10.3390/geosciences8030091"
"653","https://doi.org/10.1002/ecs2.2133","","scallops","","","10.1002/ecs2.2133"
"655","https://doi.org/10.3389/fmars.2018.00042","","gear impacts","","","10.3389/fmars.2018.00042"
"657","https://doi.org/10.1016/j.ecolind.2017.11.016","","gear impacts","","","10.1016/j.ecolind.2017.11.016"
"658","https://doi.org/10.12681/mms.14993","","photophilus","","","10.12681/mms.14993"
"659","https://doi.org/10.3354/esr00914","","whale entanglement","","","10.3354/esr00914"
"660","https://doi.org/10.7717/peerj.5459","","penguin","","","10.7717/peerj.5459"
"661","https://doi.org/10.1155/2018/6318652","","octopod observation","","","10.1155/2018/6318652"
"662","https://doi.org/10.1016/j.csr.2017.11.004","","method for sediment sampling","","","10.1016/j.csr.2017.11.004"
"663","https://doi.org/10.1007/s10530-017-1517-y","","no fish","","","10.1007/s10530-017-1517-y"
"664","https://doi.org/10.3389/fmicb.2017.02550","","photometry","","","10.3389/fmicb.2017.02550"
"665","https://doi.org/10.1016/j.marpolbul.2017.08.048","","marine litter","","","10.1016/j.marpolbul.2017.08.048"
"666","https://doi.org/10.1093/icesjms/fsx076","","no fish","","","10.1093/icesjms/fsx076"
"670","https://doi.org/10.1109/JOE.2016.2637179","","multibeam","","","10.1109/JOE.2016.2637179"
"671","https://doi.org/10.11964/jfc.20161210656","","sidescan","","","10.11964/jfc.20161210656"
"672","https://doi.org/10.1016/j.jphotobiol.2017.05.021","","bioluminescent imaging","","","10.1016/j.jphotobiol.2017.05.021"
"673","https://doi.org/10.21072/mbj.2017.02.2.02","","no camera","","","10.21072/mbj.2017.02.2.02"
"674","https://doi.org/10.1080/17451000.2016.1232830","","rhodaliids","","","10.1080/17451000.2016.1232830"
"675","https://doi.org/10.1016/j.ecss.2017.04.003","","photosynthesis","","","10.1016/j.ecss.2017.04.003"
"676","https://doi.org/10.1093/jcbiol/rux021","","lobster","","","10.1093/jcbiol/rux021"
"677","https://doi.org/10.3354/dao03110","","radiograph","","","10.3354/dao03110"
"678","https://doi.org/10.1016/j.ecss.2017.01.009","","habitat classification, no fish","","","10.1016/j.ecss.2017.01.009"
"679","https://doi.org/10.1016/j.jenvman.2016.11.070","","no fish","","","10.1016/j.jenvman.2016.11.070"
"680","https://doi.org/10.1111/ddi.12509","","birds","","","10.1111/ddi.12509"
"681","https://doi.org/10.22621/cfn.v131i1.1783","","sponges","","","10.22621/cfn.v131i1.1783"
"682","https://doi.org/10.3969/j.issn.0253-4193.2017.02.007","","sediment","","","10.3969/j.issn.0253-4193.2017.02.007"
"690","https://doi.org/10.1111/ede.12321","","morphogenesis","","","10.1111/ede.12321"
"705","https://doi.org/10.1016/j.marenvres.2016.09.010","","experiment","","","10.1016/j.marenvres.2016.09.010"
"706","https://doi.org/10.1016/j.scitotenv.2016.05.089","","mangrove","","","10.1016/j.scitotenv.2016.05.089"
"707","https://doi.org/10.1111/are.12766","","fish rearing","","","10.1111/are.12766"
"709","https://doi.org/10.1016/j.csr.2016.06.015","","sub-bottom imaging*","","","10.1016/j.csr.2016.06.015"
"710","https://doi.org/10.1111/mec.13734","","satellite","","","10.1111/mec.13734"
"711","https://doi.org/10.1111/ddi.12447","","mussel","","","10.1111/ddi.12447"
"712","https://doi.org/10.1016/j.fishres.2015.08.019","","camera not in situ","","","10.1016/j.fishres.2015.08.019"
"713","https://doi.org/10.1016/j.marpol.2016.01.029","","electronic monitoring","","","10.1016/j.marpol.2016.01.029"
"714","https://doi.org/10.3354/meps11666","","scallops","","","10.3354/meps11666"
"715","https://doi.org/10.1093/icesjms/fsv164","","scallops","","","10.1093/icesjms/fsv164"
"716","https://doi.org/10.1016/j.seares.2012.04.009","","multibeam","","","10.1016/j.seares.2012.04.009"
"717","https://doi.org/10.1111/j.1365-2419.2005.00340.x","","scallops","","","10.1111/j.1365-2419.2005.00340.x"
"718","https://doi.org/10.1016/j.isprsjprs.2008.01.003","","lobster","","","10.1016/j.isprsjprs.2008.01.003"
"719","https://doi.org/10.1002/aqc.3901","","pre-image population analysis","","","10.1002/aqc.3901"
"720","https://doi.org/10.2307/2937130","","mussels","","","10.2307/2937130"
"721","https://doi.org/10.2741/3680","","crustaceans","","","10.2741/3680"
"722","https://doi.org/10.1007/s10750-012-1046-8","","jelly-falls","","","10.1007/s10750-012-1046-8"
"723","https://doi.org/10.3856/vol41-issue1-fulltext-20","","lobster","","","10.3856/vol41-issue1-fulltext-20"
"724","https://doi.org/10.1190/GEO2023-0629.1","","seabed imaging","","","10.1190/GEO2023-0629.1"
"725","https://doi.org/10.1093/icesjms/fsu244","","lobster","","","10.1093/icesjms/fsu244"
"726","https://doi.org/10.1016/j.scitotenv.2019.135432","","micoplastics in aquaculture","","","10.1016/j.scitotenv.2019.135432"
"727","https://doi.org/10.1111/jai.12961","","otolith imaging","","","10.1111/jai.12961"
"728","https://doi.org/10.1007/s003000000132","","otolith imaging","","","10.1007/s003000000132"
"729","https://doi.org/10.1111/jfb.12598","","otolith imaging","","","10.1111/jfb.12598"
"731","https://doi.org/10.1016/j.fishres.2021.106131","","otolith imaging","","","10.1016/j.fishres.2021.106131"
"732","https://doi.org/10.1186/1687-5281-2013-61","","method","","","10.1186/1687-5281-2013-61"
"733","https://doi.org/10.1590/2358-2936e2021031","","crab","","","10.1590/2358-2936e2021031"
"734","https://doi.org/10.1016/j.fishres.2025.107448","","otolith imaging","","","10.1016/j.fishres.2025.107448"
"735","https://doi.org/10.1016/j.jembe.2016.04.003","","method","","","10.1016/j.jembe.2016.04.003"
"736","https://doi.org/10.3389/fmars.2024.1321366","","mussel","","","10.3389/fmars.2024.1321366"
"738","https://doi.org/10.1051/alr/2016016","","turtle ","","","10.1051/alr/2016016"
"754","https://doi.org/10.3391/ai.2009.4.1.16","","ascidian recruitment","","","10.3391/ai.2009.4.1.16"
"755","https://doi.org/10.4319/lom.2009.7.664","","pelagic","","","10.4319/lom.2009.7.664"
"764","https://doi.org/10.1038/s41598-019-52586-8","","SPI imaging","","","10.1038/s41598-019-52586-8"
"765","https://doi.org/10.1016/j.dsr.2023.104200","","study of animal borne camera effects","","","10.1016/j.dsr.2023.104200"
"766","https://doi.org/10.3389/fmars.2018.00158","","gelatinous zooplankton","","","10.3389/fmars.2018.00158"
"768","https://doi.org/10.1016/j.chemosphere.2021.130261","","SEM images","","","10.1016/j.chemosphere.2021.130261"
"770","https://doi.org/10.1093/icesjms/fsu225","","electronic monitoring","","","10.1093/icesjms/fsu225"
"778","https://doi.org/10.3176/earth.2010.3.04","","SEM images","","","10.3176/earth.2010.3.04"
"779","https://doi.org/10.1016/j.ecolind.2011.03.015","","SPI images","","","10.1016/j.ecolind.2011.03.015"
"780","https://doi.org/10.1186/s41200-016-0074-x","","no camera in situ","","","10.1186/s41200-016-0074-x"
"785","https://doi.org/10.1080/19425120.2015.1121939","","sea urchins","","","10.1080/19425120.2015.1121939"
"786","https://doi.org/10.1016/j.margeo.2015.11.001","","no fish","","","10.1016/j.margeo.2015.11.001"
"787","https://doi.org/10.1109/JOE.2015.2410851","","acoustic","","","10.1109/JOE.2015.2410851"
"788","https://doi.org/10.1016/j.scitotenv.2015.08.103","","photodemethylation","","","10.1016/j.scitotenv.2015.08.103"
"789","https://doi.org/10.3390/rs71215849","","satellite imagery","","","10.3390/rs71215849"
"790","https://doi.org/10.1093/icesjms/fsv163","","method","","","10.1093/icesjms/fsv163"
"791","https://doi.org/10.1017/S1755267215000500","","stranding","","","10.1017/S1755267215000500"
"792","https://doi.org/10.2960/S.v47.m1","","camera not in situ","","","10.2960/S.v47.m1"
"793","https://doi.org/10.1371/journal.pone.0109365","","no fish","","","10.1371/journal.pone.0109365"
"794","https://doi.org/10.1016/j.csr.2014.07.004","","acoustic imagery","","","10.1016/j.csr.2014.07.004"
"795","https://doi.org/10.1016/j.quascirev.2014.05.026","","paleo, mammals","","","10.1016/j.quascirev.2014.05.026"
"796","https://doi.org/10.1093/icesjms/fsv163","","method","","","10.1093/icesjms/fsv163"
"797","https://doi.org/10.4319/lo.2014.59.3.0745","","salp bloom","","","10.4319/lo.2014.59.3.0745"
"798","https://doi.org/10.1242/bio.20136825","","photoptic","","","10.1242/bio.20136825"
"799","https://doi.org/10.1016/j.pocean.2013.07.025","","photophase","","","10.1016/j.pocean.2013.07.025"
"800","https://doi.org/10.1111/php.12101","","photosynthesis","","","10.1111/php.12101"
"801","https://doi.org/10.1007/s11852-013-0243-6","","method","","","10.1007/s11852-013-0243-6"
"802","https://doi.org/10.1007/s10661-012-2833-4","","no fish, no camera","","","10.1007/s10661-012-2833-4"
"803","https://doi.org/10.3354/meps10198","","no fish","","","10.3354/meps10198"
"804","https://doi.org/10.1111/2041-210x.12007","","method","","","10.1111/2041-210x.12007"
"805","https://doi.org/10.1007/s10498-012-9181-4","","optode images","","","10.1007/s10498-012-9181-4"
"806","https://doi.org/10.1016/j.jembe.2012.06.010","","laboratory","","","10.1016/j.jembe.2012.06.010"
"807","https://doi.org/10.1371/journal.pone.0040997","","satellite imagery","","","10.1371/journal.pone.0040997"
"808","https://doi.org/10.1016/j.csr.2012.04.017","","no fish","","","10.1016/j.csr.2012.04.017"
"809","https://doi.org/10.1007/978-3-642-27638-5_13","","acoustic","","","10.1007/978-3-642-27638-5_13"
"810","https://doi.org/10.1016/j.fishres.2011.01.028","","no fish","","","10.1016/j.fishres.2011.01.028"
"811","https://doi.org/10.1016/j.jembe.2011.06.017","","squid","","","10.1016/j.jembe.2011.06.017"
"812","https://doi.org/10.3354/meps09313","","turtles","","","10.3354/meps09313"
"813","https://doi.org/10.3923/jbs.2011.221.225","","stomach contents","","","10.3923/jbs.2011.221.225"
"814","https://doi.org/10.3354/meps09112","","no fish","","","10.3354/meps09112"
"815","https://doi.org/10.1016/j.dsr.2011.02.006","","method","","","10.1016/j.dsr.2011.02.006"
"816","https://doi.org/10.1016/j.ecss.2010.10.016","","no fish","","","10.1016/j.ecss.2010.10.016"
"817","https://doi.org/10.1371/journal.pone.0014461","","method","","","10.1371/journal.pone.0014461"
"818","https://doi.org/10.1016/j.csr.2010.08.011","","no fish","","","10.1016/j.csr.2010.08.011"
"819","https://doi.org/10.1007/s00227-010-1517-2","","seabirds","","","10.1007/s00227-010-1517-2"
"820","https://doi.org/10.1111/j.1439-0485.2009.00286.x","","sponges","","","10.1111/j.1439-0485.2009.00286.x"
"821","https://doi.org/10.1016/j.dsr2.2009.08.022","","video only for site verification","","","10.1016/j.dsr2.2009.08.022"
"822","https://doi.org/10.12681/mms.92","","shrimp","","","10.12681/mms.92"
"823","https://doi.org/10.1016/j.jembe.2009.10.003","","laboratory","","","10.1016/j.jembe.2009.10.003"
"824","https://doi.org/10.1002/aqc.1053","","no fish","","","10.1002/aqc.1053"
"825","https://doi.org/10.1016/j.ecss.2009.07.011","","no fish","","","10.1016/j.ecss.2009.07.011"
"826","https://doi.org/10.1016/j.dsr.2009.04.015","","macroinvertebrate","","","10.1016/j.dsr.2009.04.015"
"827","https://doi.org/10.1016/j.aquaculture.2008.12.020","","video for marine particles","","","10.1016/j.aquaculture.2008.12.020"
"828","https://doi.org/10.1242/jeb.023358","","fish eyes","","","10.1242/jeb.023358"
"829","https://doi.org/10.1016/j.dsr2.2008.08.001","","synthesis","","","10.1016/j.dsr2.2008.08.001"
"830","https://doi.org/10.3354/meps07609","","nephrops","","","10.3354/meps07609"
